,Recurrence rate (RR),Determinism (DET),Average diagonal line length (L),Longest diagonal line length (L_max),Divergence (DIV),Entropy diagonal lines (L_entr),Laminarity (LAM),Trapping time (TT),Longest vertical line length (V_max),Entropy vertical lines (V_entr),Average white vertical line length (W),Longest white vertical line length (W_max),Longest white vertical line length inverse (W_div),Entropy white vertical lines (W_entr),Ratio determinism / recurrence rate (DET/RR),Ratio laminarity / determinism (LAM/DET)
0,0.10222222222222223,0.1935483870967742,2.0,2.0,0.5,0.0,0.4673913043478261,2.388888888888889,3.0,0.6682484745979309,9.662650602409638,29.0,0.034482758620689655,2.7222535610198975,1.8934081346423561,2.4148550724637685
1,0.1,0.06666666666666667,2.0,2.0,0.5,0.0,0.37777777777777777,2.0,2.0,0.0,9.411764705882353,26.0,0.038461538461538464,2.7888824939727783,0.6666666666666666,5.666666666666667
2,0.1,0.43333333333333335,2.6,4.0,0.25,0.9502705335617065,0.5,3.4615384615384617,5.0,1.0928305387496948,11.691176470588236,27.0,0.037037037037037035,2.6406216621398926,4.333333333333333,1.1538461538461537
3,0.16444444444444445,0.23728813559322035,2.0,2.0,0.5,0.0,0.4864864864864865,2.1176470588235294,3.0,0.36221057176589966,7.408163265306122,23.0,0.043478260869565216,2.377547264099121,1.4429683921209344,2.0501930501930503
4,0.051111111111111114,0.0,0.0,1.0,1.0,0.0,0.30434782608695654,2.0,2.0,0.0,13.328125,29.0,0.034482758620689655,3.152350425720215,0.0,0.0
5,0.07333333333333333,0.0,0.0,1.0,1.0,0.0,0.18181818181818182,2.0,2.0,0.0,10.855263157894736,29.0,0.034482758620689655,2.8602347373962402,0.0,0.0
6,0.12,0.10256410256410256,2.0,2.0,0.5,0.0,0.25925925925925924,2.0,2.0,0.0,8.127659574468085,29.0,0.034482758620689655,2.5457146167755127,0.8547008547008547,2.5277777777777777
7,0.13333333333333333,0.3111111111111111,2.0,2.0,0.5,0.0,0.175,2.3333333333333335,3.0,0.6365141868591309,7.240384615384615,29.0,0.034482758620689655,2.218111515045166,2.3333333333333335,0.5625
8,0.16444444444444445,0.4406779661016949,2.6,4.0,0.25,0.9433484077453613,0.5945945945945946,4.0,5.0,0.6931471824645996,8.409090909090908,29.0,0.034482758620689655,2.4238696098327637,2.679798442510307,1.3492723492723493
9,0.11777777777777777,0.3684210526315789,2.3333333333333335,4.0,0.25,0.4505612254142761,0.3584905660377358,2.0,2.0,0.0,10.066666666666666,29.0,0.034482758620689655,2.3989415168762207,3.128103277060576,0.9730458221024259
10,0.08,0.0,0.0,1.0,1.0,0.0,0.2222222222222222,2.0,2.0,0.0,9.569767441860465,29.0,0.034482758620689655,2.8448996543884277,0.0,0.0
11,0.1711111111111111,0.25806451612903225,2.2857142857142856,3.0,0.3333333333333333,0.5982695817947388,0.45454545454545453,2.0,2.0,0.0,6.532110091743119,27.0,0.037037037037037035,2.224151372909546,1.508169250104734,1.7613636363636365
12,0.14666666666666667,0.49019607843137253,2.272727272727273,3.0,0.3333333333333333,0.5859525799751282,0.5757575757575758,2.923076923076923,4.0,1.0928305387496948,8.60919540229885,28.0,0.03571428571428571,2.3337416648864746,3.342245989304813,1.1745454545454548
13,0.1111111111111111,0.2857142857142857,2.0,2.0,0.5,0.0,0.44,2.3157894736842106,3.0,0.623654842376709,9.421686746987952,28.0,0.03571428571428571,2.719536066055298,2.5714285714285716,1.54
14,0.17777777777777778,0.2923076923076923,2.375,5.0,0.2,0.37677016854286194,0.425,2.193548387096774,3.0,0.4913274645805359,6.518518518518518,29.0,0.034482758620689655,1.9195054769515991,1.6442307692307692,1.4539473684210524
15,0.14666666666666667,0.3137254901960784,2.0,2.0,0.5,0.0,0.48484848484848486,2.2857142857142856,3.0,0.5982695817947388,8.021505376344086,26.0,0.038461538461538464,2.4930148124694824,2.1390374331550803,1.5454545454545454
16,0.17555555555555555,0.34375,2.2,3.0,0.3333333333333333,0.5004023909568787,0.27848101265822783,2.4444444444444446,3.0,0.6869615316390991,6.5046728971962615,28.0,0.03571428571428571,2.000993251800537,1.9580696202531647,0.810126582278481
17,0.11777777777777777,0.23684210526315788,2.25,3.0,0.3333333333333333,0.5623351335525513,0.4716981132075472,2.380952380952381,3.0,0.6645283699035645,8.688888888888888,28.0,0.03571428571428571,2.4086339473724365,2.0109235352532275,1.9916142557651992
18,0.10666666666666667,0.15151515151515152,5.0,5.0,0.2,0.0,0.3333333333333333,2.0,2.0,0.0,8.8,28.0,0.03571428571428571,2.551821708679199,1.4204545454545454,2.1999999999999997
19,0.14222222222222222,0.24489795918367346,2.0,2.0,0.5,0.0,0.140625,2.0,2.0,0.0,6.338983050847458,24.0,0.041666666666666664,2.1315176486968994,1.721938775510204,0.57421875
20,0.08888888888888889,0.16,2.0,2.0,0.5,0.0,0.075,2.0,2.0,0.0,9.792682926829269,27.0,0.037037037037037035,2.7541286945343018,1.8,0.46875
21,0.14444444444444443,0.14,2.3333333333333335,3.0,0.3333333333333333,0.6365141868591309,0.4,2.0,2.0,0.0,6.752212389380531,28.0,0.03571428571428571,2.417476177215576,0.9692307692307695,2.857142857142857
22,0.14222222222222222,0.1836734693877551,2.25,3.0,0.3333333333333333,0.5623351335525513,0.1875,2.0,2.0,0.0,5.9,28.0,0.03571428571428571,2.2325236797332764,1.2914540816326532,1.0208333333333333
23,0.18222222222222223,0.23880597014925373,2.0,2.0,0.5,0.0,0.4024390243902439,2.129032258064516,3.0,0.38454291224479675,6.25,23.0,0.043478260869565216,2.0725510120391846,1.310520567892246,1.6852134146341464
24,0.12,0.15384615384615385,2.0,2.0,0.5,0.0,0.4351851851851852,2.611111111111111,3.0,0.6682484745979309,8.829545454545455,29.0,0.034482758620689655,2.6172850131988525,1.2820512820512822,2.8287037037037033
25,0.1511111111111111,0.2641509433962264,2.3333333333333335,3.0,0.3333333333333333,0.6365141868591309,0.5882352941176471,2.1621621621621623,3.0,0.44323790073394775,8.409090909090908,25.0,0.04,2.3890490531921387,1.7480577136514983,2.226890756302521
26,0.1622222222222222,0.20689655172413793,2.0,2.0,0.5,0.0,0.5273972602739726,2.138888888888889,3.0,0.40294134616851807,7.552083333333333,24.0,0.041666666666666664,2.3338541984558105,1.2753897024090695,2.549086757990868
27,0.19111111111111112,0.38028169014084506,2.25,4.0,0.25,0.5660858154296875,0.5465116279069767,2.611111111111111,4.0,0.6154983043670654,5.9411764705882355,29.0,0.034482758620689655,2.2023110389709473,1.9898460530625612,1.4371231696813092
28,0.10222222222222223,0.12903225806451613,2.0,2.0,0.5,0.0,0.34782608695652173,2.0,2.0,0.0,10.971830985915492,29.0,0.034482758620689655,2.709350824356079,1.2622720897615707,2.6956521739130435
29,0.2111111111111111,0.2625,2.1,3.0,0.3333333333333333,0.3250829875469208,0.24210526315789474,2.5555555555555554,3.0,0.6869615316390991,5.483050847457627,24.0,0.041666666666666664,1.8506431579589844,1.243421052631579,0.9223057644110275
30,0.19111111111111112,0.29577464788732394,2.1,3.0,0.3333333333333333,0.3250829875469208,0.3953488372093023,2.3448275862068964,3.0,0.6441857814788818,5.145985401459854,29.0,0.034482758620689655,1.9279274940490723,1.547658041270881,1.336655592469546
31,0.19333333333333333,0.2361111111111111,2.125,3.0,0.3333333333333333,0.37677016854286194,0.27586206896551724,2.0,2.0,0.0,5.581967213114754,28.0,0.03571428571428571,1.863598346710205,1.221264367816092,1.1683569979716024
32,0.1288888888888889,0.09302325581395349,2.0,2.0,0.5,0.0,0.1896551724137931,2.0,2.0,0.0,7.411764705882353,29.0,0.034482758620689655,2.394078493118286,0.7217321571772254,2.038793103448276
33,0.19555555555555557,0.273972602739726,2.0,2.0,0.5,0.0,0.48295454545454547,2.1794871794871793,3.0,0.4706149697303772,6.008695652173913,26.0,0.038461538461538464,2.1995954513549805,1.4009962640099625,1.762784090909091
34,0.12222222222222222,0.175,2.3333333333333335,3.0,0.3333333333333333,0.6365141868591309,0.17272727272727273,2.7142857142857144,3.0,0.5982695817947388,8.847058823529412,29.0,0.034482758620689655,2.629276752471924,1.4318181818181819,0.9870129870129871
35,0.07333333333333333,0.0,0.0,1.0,1.0,0.0,0.3939393939393939,2.0,2.0,0.0,11.51388888888889,27.0,0.037037037037037035,2.9293105602264404,0.0,0.0
36,0.09333333333333334,0.07407407407407407,2.0,2.0,0.5,0.0,0.11904761904761904,2.0,2.0,0.0,8.813186813186814,29.0,0.034482758620689655,2.528067111968994,0.7936507936507936,1.6071428571428572
37,0.15777777777777777,0.26785714285714285,2.142857142857143,3.0,0.3333333333333333,0.4101163148880005,0.0,0.0,1.0,0.0,6.454545454545454,28.0,0.03571428571428571,2.228896379470825,1.6976861167002013,0.0
38,0.18,0.15151515151515152,2.5,3.0,0.3333333333333333,0.6931471824645996,0.1728395061728395,2.0,2.0,0.0,5.871794871794871,27.0,0.037037037037037035,2.0421574115753174,0.8417508417508418,1.1407407407407406
39,0.13111111111111112,0.36363636363636365,2.2857142857142856,3.0,0.3333333333333333,0.5982695817947388,0.1864406779661017,2.75,3.0,0.5623351335525513,6.612068965517241,29.0,0.034482758620689655,2.3567607402801514,2.773497688751926,0.5127118644067796
40,0.1622222222222222,0.3275862068965517,2.375,3.0,0.3333333333333333,0.6615632772445679,0.0958904109589041,2.0,2.0,0.0,5.569230769230769,28.0,0.03571428571428571,2.0277833938598633,2.01936702881436,0.2927180966113915
41,0.20666666666666667,0.2692307692307692,2.3333333333333335,3.0,0.3333333333333333,0.6365141868591309,0.45161290322580644,2.7096774193548385,4.0,0.650390625,6.390476190476191,21.0,0.047619047619047616,2.331475257873535,1.3027295285359801,1.6774193548387097
42,0.11333333333333333,0.3333333333333333,2.0,2.0,0.5,0.0,0.5196078431372549,2.3043478260869565,3.0,0.6145033240318298,9.860759493670885,29.0,0.034482758620689655,2.5323281288146973,2.941176470588235,1.558823529411765
43,0.1622222222222222,0.25862068965517243,2.142857142857143,3.0,0.3333333333333333,0.4101163148880005,0.22602739726027396,2.5384615384615383,3.0,0.6901856660842896,6.688679245283019,29.0,0.034482758620689655,2.34169340133667,1.594237128011337,0.8739726027397259
44,0.19777777777777777,0.16216216216216217,2.0,2.0,0.5,0.0,0.449438202247191,2.0,2.0,0.0,5.7272727272727275,26.0,0.038461538461538464,2.0684053897857666,0.8199210446401458,2.7715355805243442
45,0.17333333333333334,0.2222222222222222,2.0,2.0,0.5,0.0,0.41025641025641024,2.0,2.0,0.0,6.6761904761904765,20.0,0.05,2.2569079399108887,1.282051282051282,1.8461538461538463
46,0.16,0.15789473684210525,2.25,3.0,0.3333333333333333,0.5623351335525513,0.4097222222222222,3.1052631578947367,4.0,1.0870741605758667,7.12621359223301,27.0,0.037037037037037035,2.3270726203918457,0.9868421052631579,2.5949074074074074
