,MEAN_POWER,STD_POWER,TIME_OF_DAY,AMBIENT_TEMPERATURE,PEAK_POWER,ENERGY,DAY_OF_WEEK,APLIANCE_3,APLIANCE_4,APLIANCE_6,APLIANCE_7,APLIANCE_10,APLIANCE_11,APLIANCE_13,APLIANCE_17,APLIANCE_19
0,254.23333333333332,5.0244955523470765,4.0,0.0,267.0,27926.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,253.06666666666666,3.4634600554294774,4.0,0.0,259.0,27864.5,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,207.43333333333334,54.32291311121753,4.0,0.0,266.0,22766.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,134.06666666666666,2.448582356294261,4.0,0.0,140.0,14860.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,627.0,360.6323150615689,4.0,0.0,1217.0,704625.5,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,960.3333333333334,6.257440016137234,4.0,0.0,983.0,104673.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,861.5,18.616748731540998,4.0,0.0,956.0,94536.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,353.53333333333336,228.1234655960573,4.0,0.0,865.0,37704.5,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,233.46666666666667,39.402819978045,4.0,0.0,257.0,25350.5,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,106.53333333333333,23.45169977255854,4.0,0.0,140.0,11679.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,99.46666666666667,28.098319443617182,4.0,0.0,172.0,10704.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,91.93333333333334,2.7194770739161513,4.0,0.0,101.0,10196.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,102.76666666666667,8.754744745311287,4.0,0.0,113.0,11282.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,123.3,25.64910654714247,4.0,0.0,172.0,13511.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,169.13333333333333,1.7650936393164973,4.0,0.0,173.0,18605.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,120.3,24.725358103237525,4.0,0.0,171.0,13187.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,104.66666666666667,2.3285665595430642,4.0,0.0,111.0,11505.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,147.6,62.479116511039116,4.0,0.0,250.0,16392.5,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,228.06666666666666,4.878068834647124,4.0,0.0,239.0,25284.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,222.6,2.497999199359359,4.0,0.0,229.0,23368.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,225.13333333333333,4.145144415122617,4.0,0.0,236.0,24753.5,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,225.66666666666666,2.2558565754251503,4.0,0.0,230.0,24818.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,225.16666666666666,2.477678124553084,4.0,0.0,231.0,24763.5,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,223.36666666666667,1.852625764212034,4.0,0.0,228.0,24782.5,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,128.0,43.27431878916948,4.0,0.0,234.0,13745.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,107.06666666666666,2.792052212182923,4.0,0.0,111.0,11779.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,103.36666666666666,2.0572365498945966,4.0,0.0,107.0,11457.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,102.9,3.9187583067429235,4.0,0.0,109.0,10783.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,108.13333333333334,4.4176414018744845,4.0,0.0,120.0,11352.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,108.86666666666666,2.9858927568744917,4.0,0.0,123.0,11965.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,108.06666666666666,2.2939534045447,4.0,0.0,117.0,12087.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,108.73333333333333,1.787611690372256,4.0,0.0,113.0,12076.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,104.56666666666666,2.7650597743187313,4.0,0.0,111.0,11485.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,103.83333333333333,3.023059524536176,4.0,0.0,108.0,11334.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,121.76666666666667,44.97827870823377,4.0,0.0,239.0,13878.5,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,229.9,5.7523908073078625,4.0,0.0,242.0,25951.5,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,226.3,3.831013790978397,4.0,0.0,238.0,23758.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,225.23333333333332,4.128626352136453,4.0,0.0,244.0,23871.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,224.7,1.7729448195962931,4.0,0.0,228.0,24935.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,223.13333333333333,3.565887765417689,4.0,0.0,238.0,25003.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,217.33333333333334,2.6246692913372702,4.0,0.0,222.0,24122.5,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,103.3,1.810156530984729,4.0,0.0,107.0,11356.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,107.23333333333333,6.02596234822474,4.0,0.0,125.0,11829.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,109.06666666666666,2.462158041682585,4.0,0.0,112.0,12130.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,110.16666666666667,3.1313823713426565,4.0,0.0,125.0,12012.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,108.4,1.9765289440498126,4.0,0.0,115.0,11266.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,108.83333333333333,2.8294090470548006,4.0,0.0,113.0,11424.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,108.1,2.6999999999999997,4.0,0.0,115.0,11901.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
